id;konto;text;skill;branche;word_count;character_count
SP-054;Surfers Pottery;Die Zufahrt ist offen und das Material abgeladen. Wegen der Lieferung ist alles erledigt.;none;Handwerk / Töpferei;14;89
SP-055;Surfers Pottery;Unsere Gruppe wartet, aber nichts ist vorbereitet. Der gebuchte Kurs soll jetzt starten.;forwarding;Handwerk / Töpferei;13;88
SP-056;Surfers Pottery;Jetzt ist alles vorbereitet, unsere Gruppe sitzt bereits am Tisch und der Kurs beginnt.;none;Handwerk / Töpferei;14;87
SP-057;Surfers Pottery;Die Gruppe ist da, niemand weiß von unserem Kurs, und am Empfang ist gerade keiner zu sehen, der sich darum kümmern könnte.;forwarding;Handwerk / Töpferei;22;123
SP-058;Surfers Pottery;Die Adresse wurde rechtzeitig korrigiert. Das Paket ist richtig beschriftet, weitere Rücksprache ist unnötig.;none;Handwerk / Töpferei;14;109
SP-059;Surfers Pottery;Auf dem Paket, das Ihr Team gerade dem Kurier geben will, steht meine alte Adresse. Der Kurier wartet schon. Bitte verbinden Sie mich sofort, bevor das Paket übergeben wird.;forwarding;Handwerk / Töpferei;29;173
SP-060;Surfers Pottery;Falsche Bestellung geht raus. Dringend weiterleiten;forwarding;Handwerk / Töpferei;6;51
SP-061;Surfers Pottery;Im Studio läuft Wasser aus dem Waschbecken. Wir bekommen es nicht gestoppt, kann mich jemand kontaktieren?;forwarding;Handwerk / Töpferei;16;106
SP-062;Surfers Pottery;Unser Slot für den Brand nächste Woche überschneidet sich anscheinend mit einem anderen Kundentermin, das wollte der Werkstattleiter eigentlich selbst mit uns klären. Können Sie mich mit ihm verbinden?;forwarding;Handwerk / Töpferei;29;201
SP-063;Surfers Pottery;Das Wasser läuft nicht mehr aus. Ihr Team hat den Hahn bereits repariert und alles aufgewischt. Ich hatte den Anruf vorher begonnen, brauche jetzt aber keine Hilfe mehr.;none;Handwerk / Töpferei;28;169
AM-001;Amazon Business;Unsere Teamleitung muss größere Einkäufe freigeben. Bietet Amazon Business dafür einen Genehmigungsworkflow?;knowledge-base;Beschaffung / E-Commerce;12;108
AM-002;Amazon Business;Den Genehmigungsablauf hat mir unsere Teamleitung bereits erklärt. Ich habe alles verstanden, danke.;none;Beschaffung / E-Commerce;13;100
AM-003;Amazon Business;Unsere Mitarbeitenden sollen einkaufen können, aber größere Bestellungen müssten erst von der Teamleitung freigegeben werden. Unterstützt Amazon Business dafür Genehmigungsabläufe? Ich möchte nur wissen, welche Möglichkeiten es grundsätzlich gibt.;knowledge-base;Beschaffung / E-Commerce;29;247
AM-004;Amazon Business;Bezüglich der Systemanbindung . Unsere IT hat mir die benötigten Informationen bereits geschickt, und ich muss das erst intern lesen. Sie brauchen dafür nichts nachzuschlagen.;none;Beschaffung / E-Commerce;24;175
AM-005;Amazon Business;Wir nutzen schon ein eigenes Einkaufssystem. Welche Möglichkeiten gibt es, Amazon Business daran anzubinden?;knowledge-base;Beschaffung / E-Commerce;14;108
AM-006;Amazon Business;Kann Amazon Business an unser Einkaufssystem angebunden werden?;knowledge-base;Beschaffung / E-Commerce;8;63
AM-007;Amazon Business;Bei uns gibt es feste Vorgaben für Zahlungen. Deshalb möchte ich vor der Anmeldung wissen, welche Zahlungsarten bei Amazon Business angeboten werden.;knowledge-base;Beschaffung / E-Commerce;22;149
AM-008;Amazon Business;Welche Zahlungsarten bietet ihr Geschäftskunden an?;knowledge-base;Beschaffung / E-Commerce;6;51
AM-009;Amazon Business;Zahlungsarten muss ich gerade nicht mehr vergleichen.;none;Beschaffung / E-Commerce;7;53
AM-010;Amazon Business;Ich würde die Einkäufe unserer Firma gern auswerten. Welche Berichte stehen dafür zur Verfügung?;knowledge-base;Beschaffung / E-Commerce;14;96
AM-011;Amazon Business;Die Berichte hat mir meine Kollegin gerade gezeigt.;none;Beschaffung / E-Commerce;8;51
AM-012;Amazon Business;Wir möchten unsere Unternehmenseinkäufe regelmäßig auswerten, ohne jede einzelne Bestellung manuell zusammenzutragen. Welche Berichte stellt Amazon Business dafür bereit? Mir geht es um eine allgemeine Übersicht über die Funktionen.;knowledge-base;Beschaffung / E-Commerce;29;232
EC-001;E-Commerce;Was lässt sich im Geschäftskonto einstellen?;knowledge-base;Beschaffung / E-Commerce;6;44
EC-002;E-Commerce;Zu den Kontoeinstellungen habe ich keine offene Frage mehr.;none;Beschaffung / E-Commerce;9;59
EC-003;E-Commerce;Wenn mehrere Personen unser Geschäftskonto verwenden: Welche Einstellungen bietet ihr für die Kontoverwaltung an?;knowledge-base;Beschaffung / E-Commerce;14;113
EC-004;E-Commerce;Die App-Frage ist erledigt, ich habe die Beschreibung gelesen. Ich richte gerade noch meine eigenen Notizen und möchte anschließend über etwas anderes sprechen. Nachschlagen ist dafür nicht nötig.;none;Beschaffung / E-Commerce;28;196
EC-005;E-Commerce;Ich erledige vieles vom Handy aus und bin selten am Schreibtisch. Kann ich Amazon Business über eine mobile App nutzen, oder ist dafür immer die normale Website erforderlich?;knowledge-base;Beschaffung / E-Commerce;28;174
EC-006;E-Commerce;Gibt es für unterwegs eine mobile App?;knowledge-base;Beschaffung / E-Commerce;7;38
EC-007;E-Commerce;Unser Team hat noch nie mit Amazon Business gearbeitet. Gibt es für den Einstieg Schulungen oder eine Einführung, damit sich nicht jeder alles selbst zusammensuchen muss? Das würde ich gern wissen.;knowledge-base;Beschaffung / E-Commerce;31;197
EC-008;E-Commerce;Unser Team steigt neu ein. Gibt es Schulungen oder Unterstützung beim Onboarding für Amazon Business?;knowledge-base;Beschaffung / E-Commerce;15;101
EC-009;E-Commerce;Die Informationen zur Einführung sind bei uns angekommen. Ich lese sie erst einmal in Ruhe durch.;none;Beschaffung / E-Commerce;16;97
EC-010;E-Commerce;Ist das Angebot auch für kleine Firmen gedacht?;knowledge-base;Beschaffung / E-Commerce;8;47
EC-011;E-Commerce;Ob die Plattform für unsere kleine Firma passt, haben wir schon geklärt;none;Beschaffung / E-Commerce;12;71
EC-012;E-Commerce;Wir sind eine kleine Firma ohne Einkaufsabteilung. Passt Amazon Business grundsätzlich auch zu solchen Unternehmen?;knowledge-base;Beschaffung / E-Commerce;15;115
HH-001;Hausheld (Kopie);Woraus besteht ein intelligentes Messsystem?;knowledge-base;Smart Metering;5;44
HH-002;Hausheld (Kopie);Die Bestandteile sind mir klar, danke.;none;Smart Metering;6;38
HH-003;Hausheld (Kopie);Ein digitaler Zähler und ein intelligentes Messsystem sind offenbar nicht ganz dasselbe. Welche Bestandteile gehören zum intelligenten Messsystem? Melde keinen Defekt an meinem Gerät.;knowledge-base;Smart Metering;24;183
HH-004;Hausheld (Kopie);Ich habe das nachgelesen. Das Portal jetzt funktioniert.;none;Smart Metering;8;56
HH-005;Hausheld (Kopie);Ich möchte verstehen, wie aktuell die angezeigten Verbrauchsdaten sind. In welchen Abständen werden sie im Portal erneuert? Bei mir liegt keine Störung vor, es geht nur um die allgemeine Funktionsweise.;knowledge-base;Smart Metering;30;202
HH-006;Hausheld (Kopie);Ich möchte die Anzeige im Portal verstehen. In welchen Abständen werden die Verbrauchswerte aktualisiert?;knowledge-base;Smart Metering;14;105
HH-007;Hausheld (Kopie);Bisher melde ich den Zählerstand jedes Jahr selbst. Übernimmt das intelligente Messsystem diese Übermittlung automatisch?;knowledge-base;Smart Metering;15;121
HH-008;Hausheld (Kopie);Muss ich den intelligenten Zähler noch selbst ablesen?;knowledge-base;Smart Metering;8;54
HH-009;Hausheld (Kopie);Das mit dem Ablesen ist jetzt klar.;none;Smart Metering;7;35
HH-010;Hausheld (Kopie);Wann kommen nach dem Zählerwechsel die Portalzugangsdaten?;knowledge-base;Smart Metering;7;58
HH-011;Hausheld (Kopie);Den Ablauf bis zu den Zugangsdaten habe ich verstanden. Es ist nichts überfällig.;none;Smart Metering;13;81
HH-012;Hausheld (Kopie);Mein Zähler soll bald ausgetauscht werden. Bekomme ich dann gleich die Zugangsdaten fürs Energiecockpit, oder muss vorher noch etwas gemacht werden?;knowledge-base;Smart Metering;21;148
HH-013;Hausheld (Kopie);Moment, ich schaue gerade, was Sie alles anbieten.“;none;Smart Metering;8;51
HH-014;Hausheld (Kopie);Ich höre den Namen Hausheld zum ersten Mal. Können Sie mir erklären, welche Dienstleistungen Ihr Unternehmen rund um intelligente Stromzähler übernimmt? Es geht um eine allgemeine Einordnung, nicht um meine Rechnung.;knowledge-base;Smart Metering;31;216
HH-015;Hausheld (Kopie);Welche Dienstleistungen übernimmt Hausheld rund um intelligente Zähler? Ich kenne Ihren Aufgabenbereich bisher nicht.;knowledge-base;Smart Metering;14;117
HH-016;Hausheld (Kopie);Mich interessiert der Datenschutz: Wie werden meine Daten geschützt, wenn der Zähler sie überträgt?;knowledge-base;Smart Metering;14;99
HH-017;Hausheld (Kopie);Wie werden die übertragenen Messdaten geschützt?;knowledge-base;Smart Metering;6;48
HH-018;Hausheld (Kopie);Ah, da steht ja schon was zum Datenschutz. Das lese ich mir erst mal durch.;none;Smart Metering;15;75
HH-019;Hausheld (Kopie);Unter welcher Anschrift ist Hausheld zu finden?;knowledge-base;Smart Metering;7;47
HH-020;Hausheld (Kopie);Die Anschrift steht schon in meinen Unterlagen.;none;Smart Metering;7;47
HH-021;Hausheld (Kopie);Ich ergänze gerade unsere Kontaktunterlagen. Welche Anschrift soll ich für Hausheld eintragen?;knowledge-base;Smart Metering;12;94
HH-022;Hausheld (Kopie);Die Sache mit dem Wasseranschluss hat sich erledigt.;none;Smart Metering;8;52
HH-023;Hausheld (Kopie);Mit dem Stromzähler hat mein Anliegen nichts zu tun. Ich brauche jemanden wegen unseres Wasseranschlusses.;forwarding;Smart Metering;15;106
HH-024;Hausheld (Kopie);Wegen meines Wasseranschlusses bitte zu den Stadtwerken verbinden.;forwarding;Smart Metering;8;66
HH-025;Hausheld (Kopie);Mein Fernwärmeanschluss ist der Anlass. Verbinden Sie mich bitte mit der zuständigen Stelle bei den Stadtwerken.;forwarding;Smart Metering;16;112
HH-026;Hausheld (Kopie);Für meinen Fernwärmeanschluss brauche ich die Stadtwerke. Bitte durchstellen.;forwarding;Smart Metering;9;77
HH-027;Hausheld (Kopie);Wegen Fernwärme wähle ich die Stadtwerkenummer selbst.;none;Smart Metering;7;54
HH-028;Hausheld (Kopie);Zum Gasanschluss bitte bei den Stadtwerken durchstellen.;forwarding;Smart Metering;7;56
HH-029;Hausheld (Kopie);Die Stadtwerke haben den Gasanschluss bereits mit mir geklärt. ;none;Smart Metering;9;63
HH-030;Hausheld (Kopie);Ich bin mit einer Frage zum Gasanschluss hier gelandet. Sie kümmern sich wohl um Stromzähler. Könnten Sie mich stattdessen zu den Stadtwerken durchstellen? ;forwarding;Smart Metering;23;156
HH-031;Hausheld (Kopie);Die Nachzahlung war richtig, ich hatte mich verlesen.;none;Smart Metering;8;53
HH-032;Hausheld (Kopie);Ich verstehe nicht, warum ich so viel nachzahlen soll. Können Sie mich mit der Abrechnung der Stadtwerke verbinden?;forwarding;Smart Metering;18;115
HH-033;Hausheld (Kopie);Die Nachzahlung auf meiner Stromrechnung stimmt nicht. Bitte zur zuständigen Stelle verbinden.;forwarding;Smart Metering;12;94
HH-034;Hausheld (Kopie);Mein monatlicher Abschlag soll angepasst werden. Verbinden Sie mich bitte mit dem Stadtwerk.;forwarding;Smart Metering;13;92
HH-035;Hausheld (Kopie);Meinen Abschlag ändern, bitte zu den Stadtwerken verbinden.;forwarding;Smart Metering;8;59
HH-036;Hausheld (Kopie);Am Abschlag soll nun doch nichts geändert werden.;none;Smart Metering;8;49
HH-037;Hausheld (Kopie);Meinen Stromvertrag möchte ich ändern. Bitte verbinden Sie mich.;forwarding;Smart Metering;9;64
HH-038;Hausheld (Kopie);Ah, die Bestätigung vom Stadtwerk ist gerade gekommen. Dann hat sich das mit der Vertragsänderung erledigt.;none;Smart Metering;16;107
HH-039;Hausheld (Kopie);Ich würde gern meinen Stromvertrag ändern. Können Sie mich zu den Stadtwerken durchstellen?;forwarding;Smart Metering;13;91
HH-040;Hausheld (Kopie);Wir lassen unsere Stromzähler doch getrennt. Keine Weiterleitung nötig.;none;Smart Metering;9;71
HH-041;Hausheld (Kopie);Wir haben mehrere Stromzähler im Haus und würden die gern zusammenlegen lassen. Können Sie mich dafür mit jemandem bei den Stadtwerken verbinden?;forwarding;Smart Metering;22;145
HH-042;Hausheld (Kopie);Zwei Stromzähler sollen zusammengelegt werden. Bitte zum Stadtwerk durchstellen.;forwarding;Smart Metering;9;80
HH-043;Hausheld (Kopie);Wir möchten das Messkonzept für unser Haus ändern. Können Sie mich mit jemandem bei den Stadtwerken verbinden, der dafür zuständig ist?;forwarding;Smart Metering;21;135
HH-044;Hausheld (Kopie);Ich brauche eine Änderung des Messkonzepts. Bitte verbinden.;forwarding;Smart Metering;8;60
HH-045;Hausheld (Kopie);Am Messkonzept wird nichts geändert. Wir hatten das diskutiert, haben uns aber dagegen entschieden.;none;Smart Metering;14;99
HH-046;Hausheld (Kopie);Bei mir ist der Strom ausgefallen.;forwarding;Smart Metering;6;34
HH-047;Hausheld (Kopie);Ah, der Strom ist wieder da. Jetzt läuft alles wieder.;none;Smart Metering;10;54
HH-048;Hausheld (Kopie);Seit eben haben wir im ganzen Haus keinen Strom mehr. Das ist eine aktuelle Störung, die ich melden möchte. Können Sie mich dafür direkt mit dem Kundenservice verbinden?;forwarding;Smart Metering;28;169
HH-049;Hausheld (Kopie);Ach, das Display ist doch an. Ich hatte nur zu schnell hingeschaut.;none;Smart Metering;12;67
HH-050;Hausheld (Kopie);Seit heute bleibt das Display am Zähler dunkel, da tut sich gar nichts mehr. Können Sie mich mit jemandem verbinden, der mir helfen kann?;forwarding;Smart Metering;24;137
HH-051;Hausheld (Kopie);Unser Zähler funktioniert nicht mehr.;forwarding;Smart Metering;5;37
HH-052;Hausheld (Kopie);Ich habe mir für den Zählerwechsel extra freigenommen, und dann kam einfach keiner. Darüber würde ich gern mit Ihrem Kundenservice sprechen.;forwarding;Smart Metering;21;140
HH-053;Hausheld (Kopie);Zum Zählerwechsel ist niemand gekommen. Können Sie mich bitte direkt mit Ihrem Kundenservice verbinden?;forwarding;Smart Metering;14;103
HH-054;Hausheld (Kopie);Meine Beschwerde zum verpassten Termin hat sich erledigt.;none;Smart Metering;8;57
HH-055;Hausheld (Kopie);Mit Ihrem Kundenservice möchte ich sprechen.;forwarding;Smart Metering;6;44
HH-056;Hausheld (Kopie);Ich wollte Ihren Kundenservice sprechen, habe es mir aber anders überlegt. Dann brauche ich den Kundenservice doch nicht mehr.;none;Smart Metering;19;126
HH-057;Hausheld (Kopie);Es betrifft den Ablauf meines Zählerwechsels und keine Rechnung oder andere Versorgungssparte. Ich möchte darüber mit einem Menschen aus Ihrem Kundenservice sprechen. Können Sie mich bitte verbinden?;forwarding;Smart Metering;27;199
PD-001;Pedalino Fahrradhersteller – Bestellung aufnehmen;Mein Kind möchte ein Laufrad. Ab welchem Alter sind eure Laufräder grundsätzlich geeignet?;knowledge-base;Fahrradhandel;13;90
PD-002;Pedalino Fahrradhersteller – Bestellung aufnehmen;Die Altersangabe zum Laufrad habe ich gefunden. Ich muss kurz überlegen, einen Augenblick bitte.;none;Fahrradhandel;14;96
PD-003;Pedalino Fahrradhersteller – Bestellung aufnehmen;Mein Kind interessiert sich schon für Laufräder. Für welches Einstiegsalter sind eure Modelle grundsätzlich gedacht? Ich möchte mich zunächst orientieren.;knowledge-base;Fahrradhandel;20;154
PD-004;Pedalino Fahrradhersteller – Bestellung aufnehmen;Welche Größe wir brauchen, wissen wir jetzt. Wir überlegen noch, ob wir das Rad kaufen.;none;Fahrradhandel;15;87
PD-005;Pedalino Fahrradhersteller – Bestellung aufnehmen;Woran orientiere ich mich bei der Auswahl der Fahrradgröße für mein wachsendes Kind?;knowledge-base;Fahrradhandel;13;84
PD-006;Pedalino Fahrradhersteller – Bestellung aufnehmen;Wie finde ich die passende Fahrradgröße?;knowledge-base;Fahrradhandel;6;40
PD-007;Pedalino Fahrradhersteller – Bestellung aufnehmen;Bevor ich mich entscheide, würde ich gern wissen, wie lange eine Lieferung normalerweise dauert.;knowledge-base;Fahrradhandel;14;96
PD-008;Pedalino Fahrradhersteller – Bestellung aufnehmen;Mit welcher Lieferzeit muss man rechnen?;knowledge-base;Fahrradhandel;6;40
PD-009;Pedalino Fahrradhersteller – Bestellung aufnehmen;Die Lieferzeit ist mir schon bekannt.;none;Fahrradhandel;6;37
PD-010;Pedalino Fahrradhersteller – Bestellung aufnehmen;Wie funktioniert bei euch eine Rückgabe?;knowledge-base;Fahrradhandel;6;40
PD-011;Pedalino Fahrradhersteller – Bestellung aufnehmen;Die Rückgaberegeln sind mir inzwischen klar. Eine Retoure will ich erstmal nicht anmelden.;none;Fahrradhandel;13;90
PD-012;Pedalino Fahrradhersteller – Bestellung aufnehmen;Falls ein Fahrrad doch nicht passt, wie funktioniert bei euch die Rückgabe? ;knowledge-base;Fahrradhandel;12;76
PD-013;Pedalino Fahrradhersteller – Bestellung aufnehmen;Wie wir bezahlen können, wissen wir schon. Wir wissen nicht, ob wir bestellen wollen.;none;Fahrradhandel;14;85
PD-014;Pedalino Fahrradhersteller – Bestellung aufnehmen;Welche Zahlungsarten bietet ihr an, und gehört eine Finanzierung auch zu den Möglichkeiten?;knowledge-base;Fahrradhandel;13;91
PD-015;Pedalino Fahrradhersteller – Bestellung aufnehmen;Welche Möglichkeiten gibt es, ein Rad zu bezahlen?;knowledge-base;Fahrradhandel;8;50
ZE-001;ZEG – Test Agent;Können wir einen Termin bei Ihnen ausmachen?;calendar;Fahrradhandel;7;44
ZE-002;ZEG – Test Agent;Der persönliche Besuch ist vorerst nur eine Überlegung. Heute möchte ich noch nichts vereinbaren.;none;Fahrradhandel;14;97
ZE-003;ZEG – Test Agent;Ich würde lieber vorbeikommen und das persönlich besprechen. ;calendar;Fahrradhandel;8;61
ZE-004;ZEG – Test Agent;Freitag war die Verabredung mit meiner Freundin. Da hab ich was durcheinandergebracht. Dann nichts vereinbaren;none;Fahrradhandel;15;110
ZE-005;ZEG – Test Agent;Freitag kann ich ab vier. Würden Sie bitte nach einem freien Termin bei Ihnen schauen? Falls da nichts mehr geht, wäre die Woche danach auch möglich.;calendar;Fahrradhandel;26;149
ZE-006;ZEG – Test Agent;Freitag habe ich am Nachmittag frei. Könnt ihr einmal schauen, ob dann ein Termin für mich möglich ist?;calendar;Fahrradhandel;18;103
ZE-007;ZEG – Test Agent;Dienstagvormittag passt uns beiden. Bitte vereinbart einen gemeinsamen Termin für meinen Mann und mich.;calendar;Fahrradhandel;14;103
ZE-008;ZEG – Test Agent;Mein Mann kommt mit. Wir möchten einen gemeinsamen Termin buchen.;calendar;Fahrradhandel;10;65
ZE-009;ZEG – Test Agent;Wir warten mit der Buchung auf meinen Mann.;none;Fahrradhandel;8;43
